"Date","Vehicle","SinceFirst","Success"
"2020-04-22","Qased",0,1
"2022-03-08","Qased",685,1
"2023-09-27","Qased",1253,1
"2023-03-04","Qaem 100",0,0
"2024-01-20","Qaem 100",322,1
"2024-09-14","Qaem 100",560,1
"1988-09-19","Shavit 2",0,1
"1990-04-03","Shavit 2",561,1
"1995-04-05","Shavit 2",2389,1
"1998-01-22","Shavit 2",3412,0
"2002-05-28","Shavit 2",4999,1
"2004-09-06","Shavit 2",5831,0
"2007-06-10","Shavit 2",6838,1
"2010-06-22","Shavit 2",7946,1
"2014-04-09","Shavit 2",9333,1
"2016-09-13","Shavit 2",10221,1
"2020-07-06","Shavit 2",11613,1
"2023-03-28","Shavit 2",12608,1
"2009-04-05","Unha",0,0
"2012-04-13","Unha",1104,0
"2012-12-12","Unha",1347,1
"2016-02-07","Unha",2499,1
"2024-03-13","Space One KAIROS",0,0
"2024-12-18","Space One KAIROS",280,0
"2017-05-25","Electron",0,0
"2018-01-21","Electron",241,1
"2018-11-11","Electron",535,1
"2018-12-16","Electron",570,1
"2019-03-28","Electron",672,1
"2019-05-05","Electron",710,1
"2019-06-29","Electron",765,1
"2019-08-19","Electron",816,1
"2019-10-17","Electron",875,1
"2019-12-06","Electron",925,1
"2020-01-31","Electron",981,1
"2020-06-13","Electron",1115,1
"2020-07-04","Electron",1136,0
"2020-08-31","Electron",1194,1
"2020-10-28","Electron",1252,1
"2020-11-20","Electron",1275,1
"2020-12-15","Electron",1300,1
"2021-01-20","Electron",1336,1
"2021-03-22","Electron",1397,1
"2021-05-15","Electron",1451,0
"2021-07-29","Electron",1526,1
"2021-11-18","Electron",1638,1
"2021-12-09","Electron",1659,1
"2022-02-28","Electron",1740,1
"2022-04-02","Electron",1773,1
"2022-05-02","Electron",1803,1
"2022-06-28","Electron",1860,1
"2022-07-13","Electron",1875,1
"2022-08-04","Electron",1897,1
"2022-09-15","Electron",1939,1
"2022-10-07","Electron",1961,1
"2022-11-04","Electron",1989,1
"2023-01-24","Electron",2070,1
"2023-03-16","Electron",2121,1
"2023-03-24","Electron",2129,1
"2023-05-08","Electron",2174,1
"2023-05-26","Electron",2192,1
"2023-07-18","Electron",2245,1
"2023-08-23","Electron",2281,1
"2023-09-19","Electron",2308,0
"2023-12-15","Electron",2395,1
"2024-01-31","Electron",2442,1
"2024-02-18","Electron",2460,1
"2024-03-12","Electron",2483,1
"2024-03-21","Electron",2492,1
"2024-04-23","Electron",2525,1
"2024-05-25","Electron",2557,1
"2024-06-05","Electron",2568,1
"2024-06-20","Electron",2583,1
"2024-08-02","Electron",2626,1
"2024-08-11","Electron",2635,1
"2024-09-20","Electron",2675,1
"2024-11-05","Electron",2721,1
"2024-11-25","Electron",2741,1
"2024-12-21","Electron",2767,1
"2025-02-08","Electron",2816,1
"2025-02-18","Electron",2826,1
"2025-03-15","Electron",2851,1
"2025-03-18","Electron",2854,1
"2019-08-17","Jielong 1",0,1
"2019-07-25","Hyperbola-1",0,1
"2021-02-01","Hyperbola-1",557,0
"2021-08-03","Hyperbola-1",740,0
"2022-05-13","Hyperbola-1",1023,0
"2023-04-07","Hyperbola-1",1352,1
"2023-12-17","Hyperbola-1",1606,1
"2024-07-10","Hyperbola-1",1812,0
"2023-05-30","Chollima-1",0,0
"2023-08-23","Chollima-1",85,0
"2023-11-21","Chollima-1",175,1
"2017-07-27","Simorgh",0,0
"2019-01-15","Simorgh",537,0
"2020-02-09","Simorgh",927,0
"2021-12-30","Simorgh",1617,0
"2024-01-28","Simorgh",2376,1
"2024-12-06","Simorgh",2689,1
"2020-11-07","Ceres-1",0,1
"2021-12-07","Ceres-1",395,1
"2022-08-09","Ceres-1",640,1
"2022-11-16","Ceres-1",739,1
"2023-01-09","Ceres-1",793,1
"2023-07-22","Ceres-1",987,1
"2023-08-10","Ceres-1",1006,1
"2023-08-25","Ceres-1",1021,1
"2023-09-05","Ceres-1",1032,1
"2023-09-21","Ceres-1",1048,0
"2023-12-05","Ceres-1",1123,1
"2024-05-29","Ceres-1",1299,1
"2024-05-30","Ceres-1",1300,1
"2024-06-06","Ceres-1",1307,1
"2024-08-29","Ceres-1",1391,1
"2024-12-19","Ceres-1",1503,1
"2025-01-20","Ceres-1",1535,1
"2025-03-17","Ceres-1",1591,1
"2013-09-25","Kuaizhou",0,1
"2014-11-21","Kuaizhou",422,1
"2017-01-09","Kuaizhou",1202,1
"2018-09-29","Kuaizhou",1830,1
"2019-08-30","Kuaizhou",2165,1
"2019-11-13","Kuaizhou",2240,1
"2019-11-17","Kuaizhou",2244,1
"2019-12-07","Kuaizhou",2264,1
"2019-12-07","Kuaizhou",2264,1
"2020-01-16","Kuaizhou",2304,1
"2020-05-12","Kuaizhou",2421,1
"2020-07-10","Kuaizhou",2480,0
"2020-09-12","Kuaizhou",2544,0
"2021-09-27","Kuaizhou",2924,1
"2021-10-27","Kuaizhou",2954,1
"2021-11-24","Kuaizhou",2982,1
"2021-12-15","Kuaizhou",3003,0
"2022-06-22","Kuaizhou",3192,1
"2022-08-23","Kuaizhou",3254,1
"2022-09-06","Kuaizhou",3268,1
"2022-09-24","Kuaizhou",3286,1
"2022-12-07","Kuaizhou",3360,1
"2023-03-22","Kuaizhou",3465,1
"2023-06-09","Kuaizhou",3544,1
"2023-07-20","Kuaizhou",3585,1
"2023-08-14","Kuaizhou",3610,1
"2023-12-25","Kuaizhou",3743,1
"2023-12-27","Kuaizhou",3745,1
"2024-01-05","Kuaizhou",3754,1
"2024-01-11","Kuaizhou",3760,1
"2024-05-21","Kuaizhou",3891,1
"2024-09-20","Kuaizhou",4013,1
"2024-12-04","Kuaizhou",4088,1
"2025-03-01","Kuaizhou",4175,0
"2022-08-07","Small Satellite Launch Vehicle",0,0
"2023-02-10","Small Satellite Launch Vehicle",187,1
"2024-08-16","Small Satellite Launch Vehicle",740,1
"1993-03-25","Start-1",0,1
"1995-03-28","Start-1",733,0
"1997-03-04","Start-1",1440,1
"1997-12-24","Start-1",1735,1
"2000-12-05","Start-1",2812,1
"2001-02-20","Start-1",2889,1
"2006-04-25","Start-1",4779,1
"2000-01-27","Minotaur I",0,1
"2000-07-19","Minotaur I",174,1
"2005-04-11","Minotaur I",1901,1
"2005-09-23","Minotaur I",2066,1
"2006-04-15","Minotaur I",2270,1
"2006-12-16","Minotaur I",2515,1
"2007-04-24","Minotaur I",2644,1
"2009-05-19","Minotaur I",3400,1
"2011-02-06","Minotaur I",4028,1
"2011-06-30","Minotaur I",4172,1
"2013-11-20","Minotaur I",5046,1
"2021-06-15","Minotaur I",7810,1
"2015-09-19","Long March 6",0,1
"2017-11-21","Long March 6",794,1
"2019-11-13","Long March 6",1516,1
"2020-11-06","Long March 6",1875,1
"2021-04-27","Long March 6",2047,1
"2021-07-09","Long March 6",2120,1
"2021-08-04","Long March 6",2146,1
"2021-11-05","Long March 6",2239,1
"2022-03-29","Long March 6",2383,1
"2022-08-10","Long March 6",2517,1
"2022-09-26","Long March 6",2564,1
"2022-11-11","Long March 6",2610,1
"2023-06-20","Long March 6",2831,1
"2023-09-10","Long March 6",2913,1
"2023-10-31","Long March 6",2964,1
"2024-03-26","Long March 6",3111,1
"2024-05-07","Long March 6",3153,1
"2024-07-04","Long March 6",3211,1
"2024-08-06","Long March 6",3244,1
"2024-09-05","Long March 6",3274,1
"2024-10-15","Long March 6",3314,1
"2024-10-22","Long March 6",3321,1
"2024-12-05","Long March 6",3365,1
"2025-01-23","Long March 6",3414,1
"2015-09-25","Long March 11",0,1
"2016-11-09","Long March 11",411,1
"2018-01-19","Long March 11",847,1
"2018-04-26","Long March 11",944,1
"2018-12-21","Long March 11",1183,1
"2019-01-21","Long March 11",1214,1
"2019-06-05","Long March 11",1349,1
"2019-09-19","Long March 11",1455,1
"2020-05-29","Long March 11",1708,1
"2020-09-15","Long March 11",1817,1
"2020-12-09","Long March 11",1902,1
"2022-03-30","Long March 11",2378,1
"2022-04-30","Long March 11",2409,1
"2022-10-07","Long March 11",2569,1
"2022-12-16","Long March 11",2639,1
"2023-03-15","Long March 11",2728,1
"2023-12-25","Long March 11",3013,1
"2021-09-03","Firefly Alpha",0,0
"2022-10-01","Firefly Alpha",393,0
"2023-09-15","Firefly Alpha",742,1
"2023-12-22","Firefly Alpha",840,0
"2024-07-04","Firefly Alpha",1035,1
"2013-09-14","Epsilon",0,1
"2016-12-20","Epsilon",1193,1
"2018-01-07","Epsilon",1576,1
"2019-01-18","Epsilon",1952,1
"2021-11-09","Epsilon",2978,1
"2022-10-12","Epsilon",3315,0
"2003-12-05","Strela",0,1
"2013-06-27","Strela",3492,1
"2014-12-19","Strela",4032,1
"1994-03-13","Minotaur-C",0,1
"1998-02-10","Minotaur-C",1430,1
"1998-10-03","Minotaur-C",1665,1
"1999-12-21","Minotaur-C",2109,1
"2000-03-12","Minotaur-C",2191,1
"2001-09-21","Minotaur-C",2749,0
"2004-05-20","Minotaur-C",3721,1
"2009-02-24","Minotaur-C",5462,0
"2011-03-04","Minotaur-C",6200,0
"2017-10-31","Minotaur-C",8633,1
"2010-09-26","Minotaur IV",0,1
"2010-11-20","Minotaur IV",55,1
"2011-09-27","Minotaur IV",366,1
"2017-08-26","Minotaur IV",2526,1
"2020-07-15","Minotaur IV",3580,1
"2022-07-27","Kinetica 1",0,1
"2023-06-07","Kinetica 1",315,1
"2024-01-23","Kinetica 1",545,1
"2024-09-24","Kinetica 1",790,1
"2024-11-11","Kinetica 1",838,1
"2024-12-27","Kinetica 1",884,0
"2023-04-02","Tianlong-2",0,1
"2022-12-09","Jielong 3",0,1
"2023-12-05","Jielong 3",361,1
"2024-02-03","Jielong 3",421,1
"2024-09-24","Jielong 3",655,1
"2025-01-13","Jielong 3",766,1
"2019-03-27","OS-M",0,0
"2017-01-14","SS-520",0,0
"2018-02-03","SS-520",385,1
"2020-09-12","Astra Rocket",0,0
"2020-12-15","Astra Rocket",94,0
"2021-08-28","Astra Rocket",350,0
"2021-11-20","Astra Rocket",434,1
"2022-02-10","Astra Rocket",516,0
"2022-03-15","Astra Rocket",549,1
"2022-06-12","Astra Rocket",638,0
"2009-02-02","Safir",0,1
"2011-06-15","Safir",863,1
"2012-02-03","Safir",1096,1
"2015-02-02","Safir",2191,1
"2019-02-05","Safir",3655,0
"2018-10-27","Zhuque-1",0,0
"1990-04-05","Northrop Grumman Pegasus",0,1
"1991-07-17","Northrop Grumman Pegasus",468,0
"1993-02-09","Northrop Grumman Pegasus",1041,1
"1993-04-25","Northrop Grumman Pegasus",1116,1
"1994-05-19","Northrop Grumman Pegasus",1505,0
"1994-06-27","Northrop Grumman Pegasus",1544,0
"1994-08-03","Northrop Grumman Pegasus",1581,1
"1995-04-03","Northrop Grumman Pegasus",1824,1
"1995-06-22","Northrop Grumman Pegasus",1904,0
"1996-03-09","Northrop Grumman Pegasus",2165,1
"1996-05-17","Northrop Grumman Pegasus",2234,1
"1996-07-02","Northrop Grumman Pegasus",2280,1
"1996-08-21","Northrop Grumman Pegasus",2330,1
"1996-11-04","Northrop Grumman Pegasus",2405,0
"1997-04-21","Northrop Grumman Pegasus",2573,1
"1997-08-01","Northrop Grumman Pegasus",2675,1
"1997-08-29","Northrop Grumman Pegasus",2703,1
"1997-10-22","Northrop Grumman Pegasus",2757,1
"1997-12-23","Northrop Grumman Pegasus",2819,1
"1998-02-26","Northrop Grumman Pegasus",2884,1
"1998-04-02","Northrop Grumman Pegasus",2919,1
"1998-08-02","Northrop Grumman Pegasus",3041,1
"1998-09-23","Northrop Grumman Pegasus",3093,1
"1998-10-22","Northrop Grumman Pegasus",3122,1
"1998-12-06","Northrop Grumman Pegasus",3167,1
"1999-03-05","Northrop Grumman Pegasus",3256,1
"1999-05-18","Northrop Grumman Pegasus",3330,1
"1999-12-04","Northrop Grumman Pegasus",3530,1
"2000-06-07","Northrop Grumman Pegasus",3716,1
"2000-10-09","Northrop Grumman Pegasus",3840,1
"2002-02-05","Northrop Grumman Pegasus",4324,1
"2003-01-25","Northrop Grumman Pegasus",4678,1
"2003-04-28","Northrop Grumman Pegasus",4771,1
"2003-06-26","Northrop Grumman Pegasus",4830,1
"2003-08-13","Northrop Grumman Pegasus",4878,1
"2005-04-15","Northrop Grumman Pegasus",5489,1
"2006-03-22","Northrop Grumman Pegasus",5830,1
"2007-04-25","Northrop Grumman Pegasus",6229,1
"2008-04-16","Northrop Grumman Pegasus",6586,1
"2008-10-19","Northrop Grumman Pegasus",6772,1
"2012-06-13","Northrop Grumman Pegasus",8105,1
"2013-06-28","Northrop Grumman Pegasus",8485,1
"2016-12-15","Northrop Grumman Pegasus",9751,1
"2019-10-11","Northrop Grumman Pegasus",10781,1
"2021-06-13","Northrop Grumman Pegasus",11392,1
"2020-05-25","LauncherOne",0,0
"2021-01-17","LauncherOne",237,1
"2021-06-30","LauncherOne",401,1
"2022-01-13","LauncherOne",598,1
"2022-07-02","LauncherOne",768,1
"2023-01-09","LauncherOne",959,0
"2023-03-23","Terran 1",0,0
"1990-11-20","Rokot",0,1
"1991-12-20","Rokot",395,1
"1994-12-26","Rokot",1497,1
"2000-05-16","Rokot",3465,1
"2002-03-17","Rokot",4135,1
"2002-06-20","Rokot",4230,1
"2003-06-30","Rokot",4605,1
"2003-10-30","Rokot",4727,1
"2005-08-26","Rokot",5393,1
"2005-10-08","Rokot",5436,0
"2006-07-28","Rokot",5729,1
"2008-05-23","Rokot",6394,1
"2009-03-17","Rokot",6692,1
"2009-07-06","Rokot",6803,1
"2009-11-02","Rokot",6922,1
"2010-06-02","Rokot",7134,1
"2010-09-08","Rokot",7232,1
"2011-02-01","Rokot",7378,0
"2012-07-28","Rokot",7921,1
"2013-01-15","Rokot",8092,0
"2013-09-11","Rokot",8331,1
"2013-11-22","Rokot",8403,1
"2013-12-25","Rokot",8436,1
"2014-05-23","Rokot",8585,1
"2014-07-03","Rokot",8626,1
"2015-03-31","Rokot",8897,1
"2015-09-23","Rokot",9073,1
"2016-02-16","Rokot",9219,1
"2016-06-04","Rokot",9328,1
"2017-10-13","Rokot",9824,1
"2018-04-25","Rokot",10018,1
"2018-11-30","Rokot",10237,1
"2019-08-30","Rokot",10510,1
"2019-12-26","Rokot",10628,1
"2012-02-13","Vega",0,1
"2013-05-07","Vega",449,1
"2014-04-30","Vega",807,1
"2015-02-11","Vega",1094,1
"2015-06-23","Vega",1226,1
"2015-12-03","Vega",1389,1
"2016-09-16","Vega",1677,1
"2016-12-05","Vega",1757,1
"2017-03-07","Vega",1849,1
"2017-08-02","Vega",1997,1
"2017-11-08","Vega",2095,1
"2018-08-22","Vega",2382,1
"2018-11-21","Vega",2473,1
"2019-03-22","Vega",2594,1
"2019-07-11","Vega",2705,0
"2020-09-03","Vega",3125,1
"2020-11-17","Vega",3200,0
"2021-04-29","Vega",3363,1
"2021-08-17","Vega",3473,1
"2021-11-16","Vega",3564,1
"2023-10-09","Vega",4256,1
"2024-09-05","Vega",4588,1
